date,account_id,account_name,campaign_id,campaign_name,campaign_type,ad_group_id,ad_group_name,keyword,match_type,device,country,impressions,clicks,ctr,avg_cpc,cost,conversions,conversion_value,gclid,utm_source,utm_medium,utm_campaign,utm_content,utm_term,quality_score
2026-01-27,809570,ABC Marketing,9935,Cyber Monday,Search,9837,Shopping,buy laptop,Broad,Desktop,United States,3748,47,1.28,1.66,78.02,1,154.7,GCLID_E085DB04EA864C58,google,cpc,cyber_monday,ad_10,buy laptop,6
2026-02-10,832052,ABC Marketing,7924,Summer Sale,Shopping,7276,Display,insurance,Phrase,Desktop,India,17956,1007,5.61,2.58,2598.06,35,7733.85,GCLID_3F4DDB12E3934C38,google,cpc,summer_sale,ad_6,gaming laptop,8
2026-02-01,496922,ABC Marketing,2291,Real Estate Leads,Shopping,7962,Video,insurance,Exact,Desktop,India,19882,777,3.91,0.43,334.11,58,20158.97,GCLID_A130E9A3454F4260,google,cpc,real_estate_leads,ad_5,cheap mobile,6
2026-04-05,472528,ABC Marketing,4432,Brand Search,Shopping,5584,Video,airflow course,Broad,Tablet,Singapore,3409,176,5.18,2.6,457.6,11,1761.81,GCLID_C88CB78CCC93476B,google,cpc,brand_search,ad_8,health insurance,7
2026-02-28,961722,ABC Marketing,1525,Winter Sale,Shopping,8286,Remarketing,cheap mobile,Broad,Tablet,Singapore,18350,627,3.42,1.92,1203.84,49,9388.65,GCLID_39358833E1DA47E7,google,cpc,winter_sale,ad_8,health insurance,10
2026-03-09,883300,ABC Marketing,8019,Real Estate Leads,Performance Max,7965,Display,credit card,Exact,Mobile,India,4781,186,3.91,1.51,280.86,17,6631.73,GCLID_69916D18757E457C,google,cpc,real_estate_leads,ad_2,credit card,5
2026-05-16,363626,ABC Marketing,1188,Electronics Festival,Search,9398,Performance,holiday packages,Exact,Mobile,India,13933,1053,7.56,2.24,2358.72,76,13837.7,GCLID_DEE35E748A354F5D,google,cpc,electronics_festival,ad_3,cloud engineer,3
2026-06-10,412942,ABC Marketing,9317,Black Friday,Display,6252,Remarketing,crm software,Broad,Tablet,Germany,8730,1020,11.69,4.24,4324.8,64,29766.1,GCLID_A60EFD56F8A041BD,google,cpc,black_friday,ad_1,gcp training,8
2026-01-15,352572,ABC Marketing,2290,Display Campaign,Search,8981,Performance,cheap mobile,Exact,Desktop,United States,16110,194,1.21,5.12,993.28,9,3121.99,GCLID_CFA146BFE3894583,google,cpc,display_campaign,ad_9,credit card,7
2026-06-26,310922,ABC Marketing,6107,Real Estate Leads,Performance Max,8059,Shopping,mobile phones,Exact,Mobile,India,17390,1843,10.6,2.44,4496.92,54,8724.11,GCLID_1442A0EFD63C45AB,google,cpc,real_estate_leads,ad_2,python course,3
