date,account_id,account_name,campaign_id,campaign_name,campaign_type,ad_set_id,ad_set_name,placement,device,country,impressions,clicks,ctr,cpc,spend,conversions,conversion_value,fbclid,utm_source,utm_medium,utm_campaign,age_group,gender
2026-02-02,200001,ABC Meta,3000,Video Views,Meta,4000,AdSet2,Reels,Mobile,UK,16876,642,3.81,0.26,166.92,5,451.49,FBCLID_00000000,meta,paid_social,video_views,25-34,Male
2026-01-29,200001,ABC Meta,3001,Festival Offers,Meta,4001,AdSet3,Instagram Feed,Mobile,Canada,663,11,1.77,3.03,33.33,0,0.0,FBCLID_00000001,meta,paid_social,festival_offers,25-34,All
2026-04-20,200001,ABC Meta,3002,Video Views,Meta,4002,AdSet14,Stories,Desktop,USA,17742,1043,5.88,2.39,2492.77,75,29118.74,FBCLID_00000002,meta,paid_social,video_views,35-44,All
2026-01-23,200001,ABC Meta,3003,App Install,Meta,4003,AdSet6,Instagram Feed,Mobile,India,16881,329,1.95,1.7,559.3,15,2083.99,FBCLID_00000003,meta,paid_social,app_install,45-54,Male
2026-04-16,200001,ABC Meta,3004,Lead Gen,Meta,4004,AdSet10,Reels,Desktop,Canada,10477,488,4.66,0.39,190.32,48,15048.07,FBCLID_00000004,meta,paid_social,lead_gen,35-44,Female
2026-04-24,200001,ABC Meta,3005,Video Views,Meta,4005,AdSet1,Facebook Feed,Desktop,USA,4610,311,6.76,3.26,1013.86,0,0.0,FBCLID_00000005,meta,paid_social,video_views,18-24,Male
2026-03-28,200001,ABC Meta,3006,Brand Awareness,Meta,4006,AdSet4,Stories,Mobile,India,5705,260,4.57,4.01,1042.6,20,2800.82,FBCLID_00000006,meta,paid_social,brand_awareness,35-44,Female
2026-05-17,200001,ABC Meta,3007,Lead Gen,Meta,4007,AdSet19,Instagram Feed,Mobile,UK,14125,453,3.21,3.45,1562.85,25,1586.74,FBCLID_00000007,meta,paid_social,lead_gen,18-24,Female
2026-01-12,200001,ABC Meta,3008,App Install,Meta,4008,AdSet11,Stories,Mobile,UK,8512,646,7.59,2.83,1828.18,62,14090.42,FBCLID_00000008,meta,paid_social,app_install,35-44,Female
2026-04-02,200001,ABC Meta,3009,Video Views,Meta,4009,AdSet2,Facebook Feed,Desktop,USA,3691,176,4.77,0.6,105.6,5,429.56,FBCLID_00000009,meta,paid_social,video_views,25-34,All
